" ""valueURI"" "," ""valueLabel"" "
" ""http://www.chic-vph.eu/ontologies#chic_0002115"" "," ""second (unit)"" "
" ""http://www.chic-vph.eu/ontologies#chic_0002113"" "," ""hour (unit)"" "
" ""http://www.chic-vph.eu/ontologies#chic_0002203"" "," ""per cent (unit)"" "
" ""http://www.chic-vph.eu/ontologies#chic_0002131"" "," ""millimeter (unit)"" "
" ""http://www.chic-vph.eu/ontologies#chic_0002201"" "," ""square millimeter per hour (unit)"" "
" ""http://www.chic-vph.eu/ontologies#chic_0002111"" "," ""year (unit)"" "
" ""http://www.chic-vph.eu/ontologies#chic_0002202"" "," ""kilogram per cubic meter (unit)"" "
" ""http://www.chic-vph.eu/ontologies#chic_0002112"" "," ""day (unit)"" "
" ""http://www.chic-vph.eu/ontologies#chic_0002153"" "," ""cubic centimeter (unit)"" "
" ""http://www.chic-vph.eu/ontologies#chic_0002116"" "," ""month (unit)"" "
" ""http://www.chic-vph.eu/ontologies#chic_0002171"" "," ""per hour (unit)"" "
" ""http://www.chic-vph.eu/ontologies#chic_0002151"" "," ""liter (unit)"" "
" ""http://www.chic-vph.eu/ontologies#chic_0002152"" "," ""milliliter (unit)"" "
